Length	Percent	Count	TotalCount
1	0.5955	26371	44284
2	0.1889	8364	44284
3	0.07858	3480	44284
4	0.04279	1895	44284
5	0.02631	1165	44284
6	0.01718	761	44284
7	0.01188	526	44284
8	0.009371	415	44284
9	0.006933	307	44284
10	0.004561	202	44284
11	0.00359	159	44284
12	0.003319	147	44284
13	0.002303	102	44284
14	0.001829	81	44284
15	0.001513	67	44284
16	0.001174	52	44284
17	9.258E-4	41	44284
18	4.968E-4	22	44284
19	4.516E-4	20	44284
20	3.839E-4	17	44284
21	3.387E-4	15	44284
22	3.161E-4	14	44284
23	2.258E-4	10	44284
24	1.129E-4	5	44284
25	2.258E-4	10	44284
26	9.033E-5	4	44284
27	9.033E-5	4	44284
28	6.774E-5	3	44284
29	1.581E-4	7	44284
30	2.258E-5	1	44284
31	2.258E-5	1	44284
32	1.129E-4	5	44284
33	4.516E-5	2	44284
34	2.258E-5	1	44284
35	2.258E-5	1	44284
36	6.774E-5	3	44284
37	2.258E-5	1	44284
38	4.516E-5	2	44284
41	2.258E-5	1	44284
