Length	Percent	Count	TotalCount
1	0.3341	357847	1071045
2	0.3346	358326	1071045
3	0.1666	178489	1071045
4	0.07491	80233	1071045
5	0.04386	46976	1071045
6	0.02002	21441	1071045
7	0.01502	16082	1071045
8	0.004933	5283	1071045
9	0.003076	3295	1071045
10	0.001209	1295	1071045
11	7.805E-4	836	1071045
12	3.66E-4	392	1071045
13	2.073E-4	222	1071045
14	1.036E-4	111	1071045
15	6.536E-5	70	1071045
16	5.229E-5	56	1071045
17	2.334E-5	25	1071045
18	1.307E-5	14	1071045
19	1.587E-5	17	1071045
20	4.668E-6	5	1071045
21	5.602E-6	6	1071045
22	2.801E-6	3	1071045
23	2.801E-6	3	1071045
24	4.668E-6	5	1071045
25	6.536E-6	7	1071045
26	9.337E-7	1	1071045
27	9.337E-7	1	1071045
28	9.337E-7	1	1071045
32	9.337E-7	1	1071045
35	9.337E-7	1	1071045
41	9.337E-7	1	1071045
