Length	Percent	Count	TotalCount
1	0.6204	95066	153226
2	0.1962	30056	153226
3	0.08897	13632	153226
4	0.04271	6544	153226
5	0.02519	3860	153226
6	0.01113	1706	153226
7	0.00667	1022	153226
8	0.003929	602	153226
9	0.002036	312	153226
10	0.001149	176	153226
11	6.265E-4	96	153226
12	3.133E-4	48	153226
13	1.697E-4	26	153226
14	1.566E-4	24	153226
15	1.175E-4	18	153226
16	9.137E-5	14	153226
17	7.832E-5	12	153226
19	1.305E-5	2	153226
21	1.305E-5	2	153226
22	1.305E-5	2	153226
27	2.611E-5	4	153226
30	1.305E-5	2	153226
