Length	Percent	Count	TotalCount
1	0.5426	16249	29949
2	0.194	5809	29949
3	0.09877	2958	29949
4	0.05269	1578	29949
5	0.03045	912	29949
6	0.01933	579	29949
7	0.01339	401	29949
8	0.009349	280	29949
9	0.007546	226	29949
10	0.00561	168	29949
11	0.004441	133	29949
12	0.003706	111	29949
13	0.003072	92	29949
14	0.002304	69	29949
15	0.001803	54	29949
16	0.001603	48	29949
17	0.001336	40	29949
18	0.001169	35	29949
19	9.349E-4	28	29949
20	9.349E-4	28	29949
21	5.676E-4	17	29949
22	6.01E-4	18	29949
23	6.01E-4	18	29949
24	4.675E-4	14	29949
25	3.673E-4	11	29949
26	3.005E-4	9	29949
27	3.005E-4	9	29949
28	2.671E-4	8	29949
29	6.678E-5	2	29949
30	2.003E-4	6	29949
31	1.67E-4	5	29949
32	1.336E-4	4	29949
33	2.337E-4	7	29949
34	1.67E-4	5	29949
35	2.337E-4	7	29949
37	3.339E-5	1	29949
38	3.339E-5	1	29949
40	6.678E-5	2	29949
41	3.339E-5	1	29949
42	3.339E-5	1	29949
43	3.339E-5	1	29949
44	3.339E-5	1	29949
45	6.678E-5	2	29949
57	3.339E-5	1	29949
