Length	Percent	Count	TotalCount
1	0.6717	302744	450729
2	0.1256	56602	450729
3	0.1173	52875	450729
4	0.03738	16848	450729
5	0.01913	8621	450729
6	0.008386	3780	450729
7	0.006414	2891	450729
8	0.003787	1707	450729
9	0.002327	1049	450729
10	0.001429	644	450729
11	0.001094	493	450729
12	8.83E-4	398	450729
13	7.943E-4	358	450729
14	4.304E-4	194	450729
15	4.349E-4	196	450729
16	3.86E-4	174	450729
17	3.483E-4	157	450729
18	1.797E-4	81	450729
19	2.374E-4	107	450729
20	1.952E-4	88	450729
21	1.93E-4	87	450729
22	9.54E-5	43	450729
23	1.198E-4	54	450729
24	1.065E-4	48	450729
25	9.318E-5	42	450729
26	9.318E-5	42	450729
27	4.881E-5	22	450729
28	6.434E-5	29	450729
29	7.1E-5	32	450729
30	6.434E-5	29	450729
31	5.103E-5	23	450729
32	3.772E-5	17	450729
33	3.328E-5	15	450729
34	3.328E-5	15	450729
35	3.772E-5	17	450729
36	4.215E-5	19	450729
37	3.328E-5	15	450729
38	3.328E-5	15	450729
39	3.106E-5	14	450729
40	2.884E-5	13	450729
41	3.328E-5	15	450729
42	2.884E-5	13	450729
43	2.662E-5	12	450729
44	2.219E-5	10	450729
45	8.875E-6	4	450729
46	1.553E-5	7	450729
47	1.553E-5	7	450729
48	1.553E-5	7	450729
49	4.437E-6	2	450729
50	8.875E-6	4	450729
51	2.219E-6	1	450729
52	1.553E-5	7	450729
53	1.109E-5	5	450729
54	4.437E-6	2	450729
55	1.109E-5	5	450729
56	4.437E-6	2	450729
57	4.437E-6	2	450729
59	6.656E-6	3	450729
60	2.219E-6	1	450729
61	2.219E-6	1	450729
62	4.437E-6	2	450729
63	4.437E-6	2	450729
65	2.219E-6	1	450729
67	2.219E-6	1	450729
68	6.656E-6	3	450729
71	2.219E-6	1	450729
72	2.219E-6	1	450729
73	6.656E-6	3	450729
75	4.437E-6	2	450729
85	4.437E-6	2	450729
86	2.219E-6	1	450729
