Length	Percent	Count	TotalCount
1	0.8279	8495150	10260797
2	0.1124	1153240	10260797
3	0.03874	397470	10260797
4	0.01298	133226	10260797
5	0.004519	46373	10260797
6	0.001684	17276	10260797
7	7.487E-4	7682	10260797
8	3.626E-4	3721	10260797
9	2.068E-4	2122	10260797
10	1.186E-4	1217	10260797
11	7.553E-5	775	10260797
12	5.38E-5	552	10260797
13	4.103E-5	421	10260797
14	2.807E-5	288	10260797
15	1.793E-5	184	10260797
16	1.501E-5	154	10260797
17	1.169E-5	120	10260797
18	7.894E-6	81	10260797
19	7.309E-6	75	10260797
20	5.458E-6	56	10260797
21	5.75E-6	59	10260797
22	5.263E-6	54	10260797
23	3.703E-6	38	10260797
24	3.898E-6	40	10260797
25	3.411E-6	35	10260797
26	2.339E-6	24	10260797
27	1.462E-6	15	10260797
28	2.339E-6	24	10260797
29	1.364E-6	14	10260797
30	1.364E-6	14	10260797
31	1.364E-6	14	10260797
32	9.746E-7	10	10260797
33	6.822E-7	7	10260797
34	1.072E-6	11	10260797
35	8.771E-7	9	10260797
36	6.822E-7	7	10260797
37	1.949E-7	2	10260797
38	2.924E-7	3	10260797
39	2.924E-7	3	10260797
40	4.873E-7	5	10260797
41	5.847E-7	6	10260797
42	3.898E-7	4	10260797
43	6.822E-7	7	10260797
44	2.924E-7	3	10260797
45	2.924E-7	3	10260797
46	2.242E-6	23	10260797
47	6.822E-7	7	10260797
48	9.746E-8	1	10260797
