Length	Percent	Count	TotalCount
1	0.4041	4092	13912
2	0.2813	5444	13912
3	0.1274	1773	13912
4	0.04866	677	13912
5	0.03695	514	13912
6	0.02638	367	13912
7	0.01624	226	13912
8	0.008841	123	13912
9	0.00956	133	13912
10	0.006038	84	13912
11	0.004385	61	13912
12	0.003882	54	13912
13	0.003235	45	13912
14	0.002228	31	13912
15	0.002875	40	13912
16	0.002013	28	13912
17	0.001509	21	13912
18	0.001438	20	13912
19	0.001581	22	13912
20	7.907E-4	11	13912
21	9.344E-4	13	13912
22	7.188E-4	10	13912
23	5.032E-4	7	13912
24	4.313E-4	6	13912
25	8.626E-4	12	13912
26	5.75E-4	8	13912
27	5.032E-4	7	13912
28	6.469E-4	9	13912
29	1.438E-4	2	13912
30	5.75E-4	8	13912
31	1.438E-4	2	13912
32	6.469E-4	9	13912
33	2.156E-4	3	13912
34	3.594E-4	5	13912
35	7.188E-5	1	13912
36	1.438E-4	2	13912
37	1.438E-4	2	13912
38	4.313E-4	6	13912
39	3.594E-4	5	13912
40	7.188E-5	1	13912
41	1.438E-4	2	13912
42	5.032E-4	7	13912
44	7.188E-5	1	13912
46	7.188E-5	1	13912
48	7.188E-5	1	13912
50	7.188E-5	1	13912
52	7.188E-5	1	13912
53	7.188E-5	1	13912
58	7.188E-5	1	13912
60	1.438E-4	2	13912
61	7.188E-5	1	13912
64	7.188E-5	1	13912
66	1.438E-4	2	13912
70	7.188E-5	1	13912
77	7.188E-5	1	13912
78	7.188E-5	1	13912
105	7.188E-5	1	13912
108	7.188E-5	1	13912
129	7.188E-5	1	13912
