Length	Percent	Count	TotalCount
1	0.3852	1036566	2690849
2	0.3675	989015	2690849
3	0.1468	395092	2690849
4	0.05302	142666	2690849
5	0.02202	59243	2690849
6	0.009833	26458	2690849
7	0.004694	12632	2690849
8	0.002519	6777	2690849
9	0.001548	4165	2690849
10	0.001025	2758	2690849
11	7.797E-4	2098	2690849
12	6.035E-4	1624	2690849
13	5.054E-4	1360	2690849
14	4.493E-4	1209	2690849
15	4.396E-4	1183	2690849
16	3.776E-4	1016	2690849
17	3.229E-4	869	2690849
18	3.118E-4	839	2690849
19	2.482E-4	668	2690849
20	2.241E-4	603	2690849
21	2.118E-4	570	2690849
22	1.594E-4	429	2690849
23	1.42E-4	382	2690849
24	1.152E-4	310	2690849
25	1.316E-4	354	2690849
26	1.07E-4	288	2690849
27	9.662E-5	260	2690849
28	7.135E-5	192	2690849
29	7.21E-5	194	2690849
30	6.243E-5	168	2690849
31	5.24E-5	141	2690849
32	4.906E-5	132	2690849
33	3.716E-5	100	2690849
34	2.787E-5	75	2690849
35	2.899E-5	78	2690849
36	2.007E-5	54	2690849
37	2.007E-5	54	2690849
38	1.709E-5	46	2690849
39	1.635E-5	44	2690849
40	1.003E-5	27	2690849
41	7.433E-6	20	2690849
42	5.946E-6	16	2690849
43	8.176E-6	22	2690849
44	4.088E-6	11	2690849
45	6.689E-6	18	2690849
46	3.345E-6	9	2690849
47	2.601E-6	7	2690849
48	3.716E-7	1	2690849
49	2.23E-6	6	2690849
