"Length"	"Frequency"	"Predict"
1	26371	26166.615333008
2	8364	8856.99968633302
3	3480	3641.14444768747
4	1895	1820.58273082871
5	1165	1040.39945751527
6	761	652.283157955936
7	526	437.359646860433
8	415	308.481988948709
9	307	226.331366800407
10	202	171.376672369755
11	159	133.151564677425
12	147	105.693435277747
13	102	85.4300428119966
14	81	70.1291665638206
15	67	58.3451752037196
16	52	49.1126505728945
17	41	41.7694458443797
18	22	35.850679627103
19	20	31.0231582963876
20	17	27.0436444301552
21	15	23.7316243209621
22	14	20.9511330706807
23	10	18.598376867471
24	5	16.5931476958662
25	10	14.8727686559265
26	4	13.3877586473046
27	4	12.0986846688802
28	3	10.9738469560405
29	7	9.98755636514963
30	1	9.1188383812801
