"Length"	"Frequency"	"Predict"
1	357847	350369.972027817
2	358326	371127.74376367
3	178489	181671.140157546
4	80233	79041.9194661909
5	46976	37091.9684860593
6	21441	19188.6306506956
7	16082	10802.9661822141
8	5283	6514.16645177032
9	3295	4151.71949975163
10	1295	2768.1324824356
11	836	1915.6466424987
12	392	1367.64595333553
13	222	1002.5300813001
14	111	751.708173721549
15	70	574.794323507386
16	56	447.10977320563
17	25	353.077305414897
18	14	282.580478437979
19	17	228.881502198173
20	5	187.390879156635
21	6	154.918844302794
22	3	129.207867614568
23	3	108.633725566059
24	5	92.0102365703601
25	7	78.4592112690183
26	1	67.3222878981534
