"Length"	"Frequency"	"Predict"
1	95066	93939.8807098461
2	30056	34054.1038258079
3	13632	12160.4652630246
4	6544	5293.93382767702
5	3860	2693.53885414375
6	1706	1532.37376521808
7	1022	945.919218344449
8	602	621.032919069958
9	312	427.772706177184
10	176	306.162675606928
11	96	226.083325158656
12	48	171.341897142021
13	26	132.730850124999
14	24	104.763354936668
15	18	84.0372482019485
16	14	68.3698142089817
17	12	56.3186631715572
19	2	39.452040711351
21	2	28.6350246206786
22	2	24.6711225204099
27	4	12.7999062638136
30	2	9.13135572767525
