"Length"	"Frequency"	"Predict"
1	16249	16041.4953719113
2	5809	6390.11165117032
3	2958	2823.84858846416
4	1578	1465.58096275875
5	912	856.684365640777
6	579	545.401679830907
7	401	369.826146379186
8	280	263.127241506661
9	226	194.413772797842
10	168	148.070437855158
11	133	115.617347506039
12	111	92.1725233113736
13	92	74.7859728319653
14	69	61.6010706336978
15	54	51.4080794640059
16	48	43.3948423692686
17	40	37.0017441363827
18	35	31.834270506307
19	28	27.608617601545
20	28	24.116911339855
21	17	21.2044125997413
22	18	18.7542447350725
23	18	16.6769557776301
24	14	14.9032553732592
25	11	13.3788774392321
26	9	12.060891648209
27	9	10.915018565555
28	8	9.91365050955548
29	2	9.03437551940914
30	6	8.25886458074416
31	5	7.57202424707334
32	4	6.96134529974825
33	7	6.41639770431381
34	5	5.92843579194816
35	7	5.49008723602514
37	1	4.73817654153931
