"Length"	"Frequency"	"Predict"
1	302744	297444.611082738
2	56602	82636.5264920621
3	52875	30456.9900005681
4	16848	14239.6982832556
5	8621	7764.28369773173
6	3780	4697.16053084087
7	2891	3060.45679691903
8	1707	2107.61036635554
9	1049	1514.9596637295
10	644	1126.72385341582
11	493	861.563679762026
12	398	674.149851565415
13	358	537.838501903375
14	194	436.258105904394
15	196	358.964308252529
16	174	299.07628888138
17	157	251.932841861214
18	81	214.298475975487
19	107	183.878530650618
20	88	159.014206631405
21	87	138.485695448009
22	43	121.382101412399
23	54	107.013680476124
24	48	94.8515008036872
25	42	84.4852394238944
26	42	75.5931985156704
27	22	67.9206958702907
28	29	61.264284232039
29	32	55.4600863973555
30	29	50.3750751528972
31	23	45.9004862456873
32	17	41.946794068847
33	15	38.4398444465948
34	15	35.3178527149413
35	17	32.5290549122027
36	19	30.0298562321495
37	15	27.7833611894809
38	15	25.7581990625739
39	14	23.9275794156446
40	13	22.2685281326752
41	15	20.7612659968205
42	13	19.388700529209
43	12	18.136008345103
44	10	16.9902902546048
45	4	15.9402851343833
46	7	14.9761315206468
47	7	14.0891681375659
48	7	13.2717663388242
49	2	12.5171888213732
50	4	11.8194700584162
51	1	11.1733147599207
