"Length"	"Frequency"	"Predict"
1	8495150	8483001.00374657
2	1153240	1250552.61984161
3	397470	303725.83637284
4	133226	107456.672068125
5	46373	47619.2306118923
6	17276	24426.4140384247
7	7682	13876.1024710792
8	3721	8497.74354916631
9	2122	5512.37272266935
10	1217	3742.23309958783
11	775	2635.89148699546
12	552	1914.03859446455
13	421	1425.89339272408
14	288	1085.65520084743
15	184	842.28733500947
16	154	664.26193473041
17	120	531.456433207858
18	81	430.656708190921
19	75	352.965089643045
20	56	292.255716860471
21	59	244.226506203039
22	54	205.801805309513
23	38	174.747038459692
24	40	149.414769523884
25	35	128.574108657541
26	24	111.29407868879
27	15	96.8625820282188
28	24	84.7292647784603
29	14	74.4646789894691
30	14	65.7307246021551
31	14	58.2590045659226
32	10	51.8348017786227
33	7	46.285097115458
34	11	41.469524259988
35	9	37.2734807851905
36	7	33.6028376652515
37	2	30.3798444432882
38	3	27.5399363982587
39	3	25.0292276472162
40	5	22.8025298344286
41	6	20.821776434502
42	4	19.0547622113281
43	7	17.4741291283154
44	3	16.0565461644647
45	3	14.7820425835454
46	23	13.6334633172897
47	7	12.5960220383214
48	1	11.6569327787077
