"Length"	"Frequency"	"Predict"
1	4092	4604.01129568848
2	5444	4205.77531927832
3	1773	2249.55641610282
4	677	1125.69637609453
5	514	597.817373796515
6	367	342.37133109166
7	226	209.695051168984
8	123	135.792296068868
9	133	92.046776868391
10	84	64.7898609834972
11	61	47.0586950111523
12	54	35.0964038074095
13	45	26.7717177269586
14	31	20.8218508411472
15	40	16.4697922766239
16	28	13.2214002576429
17	21	10.7531837029155
18	20	8.84787340105079
19	22	7.35618070506523
20	11	6.17341631573317
21	13	5.22480950866133
22	10	4.45606688394593
23	7	3.82716773129724
24	6	3.30820542902164
25	12	2.87654971611119
26	8	2.51487822745873
27	7	2.20979025686813
28	9	1.95081686760233
29	2	1.72970488257744
30	8	1.53989276865043
31	2	1.37612271258883
32	9	1.23415051975867
33	3	1.1105265654995
34	5	1.00242889693932
35	1	0.907534988114813
