"Length"	"Frequency"	"Predict"
1	1036566	1039757.81481023
2	989015	984304.054791607
3	395092	389089.760031763
4	142666	144572.813281594
5	59243	61044.0124068833
6	26458	29270.1379776297
7	12632	15538.2245304001
8	6777	8930.6734799778
9	4165	5465.15851761741
10	2758	3517.28239962117
11	2098	2358.94962988814
12	1624	1637.28182845632
13	1360	1169.75570009218
14	1209	856.65392199849
15	1183	640.904662894088
16	1016	488.511844470084
17	869	378.510438824978
18	839	297.573046179209
19	668	236.997479391592
20	603	190.964716917434
21	570	155.499926059669
22	429	127.835482665268
23	382	106.010650175512
24	310	88.614294370304
25	354	74.6161307371274
26	288	63.2539689129501
27	260	53.9570828369612
28	192	46.2933134180242
29	194	39.9320245047598
30	168	34.6178133224185
31	141	30.1516213438469
32	132	26.377005562144
33	100	23.1700528723798
34	75	20.4318962120021
35	78	18.08310892034
36	54	16.0594687752702
37	54	14.3087303947093
38	46	12.7881466743161
39	44	11.4625513408939
40	27	10.3028652109266
41	20	9.28492481595747
42	16	8.38855805281394
43	22	7.59685041326923
44	11	6.89555919604859
45	18	6.27264333173718
46	9	5.71788406062146
47	7	5.22257740490261
48	1	4.77928367718496
